"id","name","type"
"189:60524","Account Verified — Web","FRAME"
"177:43429","Check Inbox — Web","FRAME"
"239:68192","Create Account — Web","FRAME"
"177:43938","Identity Details — Web","FRAME"
"177:44147","Identity Verified — Web","FRAME"
"47:32597","INV-1.1 (1)","FRAME"
"167:28722","INV-1.1 (2)","FRAME"
"167:28575","INV-1.1 (2)","FRAME"
"155:23316","INV-1.1 (2)","FRAME"
"122:13442","INV-1.1 (2)","FRAME"
"167:28870","INV-1.1 (2)","FRAME"
"150:22770","INV-1.11","FRAME"
"150:21491","INV-1.14","FRAME"
"150:21707","INV-1.15 (1)","FRAME"
"150:21872","INV-1.15 (2)","FRAME"
"150:22027","INV-1.16 (1)","FRAME"
"150:22203","INV-1.16 (2)","FRAME"
"155:24711","INV-1.17 (1)","FRAME"
"150:22583","INV-1.17 (2)","FRAME"
"47:31853","INV-1.2","FRAME"
"240:79936","INV-1.2","FRAME"
"149:19661","INV-1.3","FRAME"
"149:19787","INV-1.4","FRAME"
"149:19913","INV-1.5","FRAME"
"149:20052","INV-1.6","FRAME"
"149:20193","INV-1.7","FRAME"
"150:20985","INV-1.8 (1)","FRAME"
"150:21181","INV-1.8 (2)","FRAME"
"150:21336","INV-1.9","FRAME"
"167:27176","INV-2.14","FRAME"
"167:26791","INV-2.15","FRAME"
"167:26864","INV-2.17","FRAME"
"167:26937","INV-2.18","FRAME"
"167:27020","INV-2.19","FRAME"
"167:27432","INV-2.20","FRAME"
"167:27093","INV-2.21","FRAME"
"177:43725","Mobile OTP — Web","FRAME"
"177:43835","Mobile Verified — Web","FRAME"
"177:44040","Nafath Request — Web","FRAME"
"167:29014","Remove 4","FRAME"
"167:36765","screen","FRAME"
"167:36335","screen","FRAME"
"167:36553","screen","FRAME"
"167:37083","screen","FRAME"
"167:37415","screen","FRAME"
"167:37249","screen","FRAME"
"167:36113","screen","FRAME"
"177:43610","Verify Mobile — Web","FRAME"
"177:43320","Your Details — Web","FRAME"
